state,county,avg_household,total_pop,pop_dens(/sqmi),nchs_code_2013
maryland,baltimore,2.48,614700,2932,1
new jersey,essex,2.73,793555,2430,1
illinois,cook,2.61,5223719,2134,1
new jersey,union,2.89,553066,2077,1
virginia,norfolk,2.49,245592,1779,1
new york,nassau,3.0,1356564,1840,2
virginia,fairfax,2.88,1143529,1129,2
new jersey,camden,2.67,507367,2077,1
texas,harris,2.88,4602523,1042,1
ohio,franklin,2.47,1275333,924,1
indiana,marion,2.51,944523,919,1
georgia,dekalb,2.63,743187,1071,2
florida,duval,2.55,924229,1305,1
north carolina,wake,2.62,1046558,1377,1
texas,bexar,3.0,1925865,1240,1
